Date,close,RSI14,RSI50,STOCH14K,STOCH14D,longOutput,shortOutput
2016/5/18,94.56,40.87294233,43.58619279,58.22923239,37.3983822,0,1
2016/5/19,94.2,39.95772328,43.33404322,66.84061841,53.04111537,1,0
2016/5/20,95.22,43.79767517,44.26622234,80.71539658,68.59508246,1,0
2016/5/23,96.43,48.04274385,45.35437951,84.38048117,77.31216539,1,0
2016/5/24,97.9,52.71542921,46.64574187,92.45861213,85.85149663,1,0
2016/5/25,99.62,57.52841516,48.10981581,95.59427076,90.81112136,1,0
2016/5/26,100.41,59.56425638,48.76868919,97.92848452,95.32712247,0,1
2016/5/27,100.35,59.33163982,48.72074579,97.53828398,97.02034642,0,1
2016/5/31,99.86,57.36146548,48.32485356,95.35227946,96.93968265,0,1
2016/6/1,98.46,52.04398962,47.20652112,89.57963292,94.15673212,0,1
2016/6/2,97.72,49.43536607,46.62456163,81.35382887,88.76191375,1,0
2016/6/3,97.92,50.16244328,46.80541657,73.61360514,81.51568898,1,0
2016/6/6,98.63,52.75938522,47.45041767,68.09632053,74.35458485,1,0
2016/6/7,99.03,54.20712251,47.81418283,65.98871724,69.23288097,0,1
2016/6/8,98.94,53.80756001,47.73831191,64.48551917,66.19018565,1,0
2016/6/9,99.65,56.52976529,48.39745466,66.59159404,65.68861015,0,1
2016/6/10,98.83,52.66923333,47.68862759,61.65121355,64.24277559,0,1
2016/6/13,97.34,46.46039985,46.4278381,44.63615676,57.62632145,1,0
2016/6/14,97.46,47.00226347,46.54398116,26.69380835,44.32705955,0,1
2016/6/15,97.14,45.67473357,46.27101689,12.99112801,28.10703104,1,0
2016/6/16,97.55,47.71244389,46.67984568,16.96827948,18.88440528,0,1
2016/6/17,95.33,39.14954039,44.79654189,11.86020199,13.93986983,0,1
2016/6/20,95.1,38.38100256,44.606287,8.968398878,12.59896011,1,0
2016/6/21,95.91,42.65080492,45.4390178,6.193757105,9.007452656,0,1
2016/6/22,95.55,41.28165071,45.1313276,10.0804558,8.414203928,1,0
2016/6/23,96.1,44.22736853,45.70449662,16.32011829,10.86477707,0,1
2016/6/24,93.4,34.95632146,43.43180191,14.02423686,13.47493698,0,1
2016/6/27,92.04,31.38728294,42.34942442,12.10593443,14.15009653,1,0
2016/6/28,93.59,39.02798917,43.973227,13.73186813,13.28734647,1,0
2016/6/29,94.4,42.62381429,44.80227185,22.6468477,16.16155009,1,0
2016/6/30,95.6,47.55813199,46.00999104,38.46196445,24.94689342,1,0
2016/7/1,95.89,48.70618481,46.29973333,51.23592158,37.44824458,0,1
2016/7/5,94.99,45.38548303,45.52602609,55.75045156,48.4827792,1,0
2016/7/6,95.53,47.68993142,46.07771171,59.3085268,55.43163331,1,0
2016/7/7,95.94,49.43449973,46.49750995,65.78709346,60.28202394,1,0
2016/7/8,96.68,52.51280544,47.25379465,80.9862214,68.69394722,1,0
2016/7/11,96.98,53.74226989,47.5604382,89.19478508,78.65603331,1,0
2016/7/12,97.42,55.55959882,48.01275711,93.56448604,87.91516417,0,1
2016/7/13,96.87,52.76884513,47.49027157,90.40082175,91.05336429,1,0
2016/7/14,98.79,60.27110516,49.44980611,93.14218241,92.3691634,0,1
2016/7/15,98.78,60.2174552,49.44000073,92.42533653,91.9894469,1,0
2016/7/18,99.83,63.85556399,50.49181712,95.63613767,93.7345522,1,0
2016/7/19,99.87,63.99066345,50.53182111,95.19287999,94.41811806,1,0
2016/7/20,99.96,64.31386901,50.62342288,94.70947451,95.17949739,0,1
2016/7/21,99.43,60.85014431,50.06632574,88.06762519,92.65665989,0,1
2016/7/22,98.66,56.12118979,49.26264068,77.63625264,86.80445078,0,1
2016/7/25,97.34,49.07957578,47.91712714,61.94067371,75.88151718,0,1
2016/7/26,96.67,45.92948902,47.24872888,43.00633036,60.86108557,1,0
2016/7/27,102.95,67.18773562,53.45809742,49.14854628,51.36518345,1,0
2016/7/28,104.34,69.99924177,54.66339041,67.09313191,53.08266951,0,1
2016/7/29,104.21,69.40030982,54.5286259,92.5268751,69.58951776,1,0
2016/8/1,106.05,72.93068287,56.09202815,97.80678198,85.80892966,0,1
2016/8/2,104.48,65.94000838,54.46168333,92.54226561,94.29197423,1,0
2016/8/3,105.79,68.64102345,55.56140853,92.70298047,94.35067602,1,0
2016/8/4,105.87,68.80372384,55.62818248,92.08633094,92.44385901,1,0
2016/8/5,107.48,71.95706369,56.95638798,97.30286754,94.03072632,1,0
2016/8/8,108.37,73.54876921,57.67110325,98.53616661,95.9751217,1,0
2016/8/9,108.81,74.32466381,58.02272457,99.14928634,98.32944017,0,1
